fiscal_code;episode_date;facility;reason;outcome;synthetic
RSSMRA92P14H501K;2024-06-20;Sant'Andrea — Pronto Soccorso;prescription_renewal;dimesso con indicazioni;true
FRRGPP17T13D810L;2024-06-07;Ospedale dei Castelli — Pronto Soccorso;specimen_collection;dimesso;true
FRRGPP17T13D810L;2026-04-06;Pol. Univ. Umberto I — Pronto Soccorso;specialist_referral;dimesso con indicazioni;true
SPSCHR68P47M082S;2025-02-12;Pol. Univ. Umberto I — Pronto Soccorso;specialist_referral;dimesso con indicazioni;true
RMNMRC55R12H282P;2025-08-17;Sant'Andrea — Pronto Soccorso;chronic_followup;inviato al medico curante;true
CLMMTN98L71L182H;2024-07-31;Casa della Comunità Prati;pediatric_non_urgent;dimesso;true
CLMMTN98L71L182H;2025-03-28;Ospedale dei Castelli — Pronto Soccorso;musculoskeletal_minor;dimesso con indicazioni;true
RCCSMN74H05A323B;2026-06-17;Ospedale dei Castelli — Pronto Soccorso;musculoskeletal_minor;dimesso con indicazioni;true
GRCNNA87L57H501M;2026-01-06;Sant'Andrea — Pronto Soccorso;minor_wound_care;dimesso;true
BRNLCU03E04E472Q;2024-04-12;Casa della Comunità Prati;prescription_renewal;dimesso con indicazioni;true
DLCSRA45D52H282B;2025-11-03;Sant'Andrea — Pronto Soccorso;specialist_referral;dimesso con indicazioni;true
GRDSMN67L16A323Q;2025-09-07;Ospedale dei Castelli — Pronto Soccorso;pediatric_non_urgent;dimesso;true
GRDSMN67L16A323Q;2026-02-13;Pol. Univ. Umberto I — Pronto Soccorso;musculoskeletal_minor;dimesso con indicazioni;true
